
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
584.728,338.906,46.6292,µm,Spot,Position Reference Frame,Reference Frame 1,1,0,
334.194,355.575,49.7991,µm,Spot,Position Reference Frame,Reference Frame 1,1,1,
307.509,498.21,42.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,2,
289.072,477.537,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,3,
338.631,371.499,47.6411,µm,Spot,Position Reference Frame,Reference Frame 1,1,4,
234.334,530.738,43.1433,µm,Spot,Position Reference Frame,Reference Frame 1,1,5,
261.257,480.307,47.8233,µm,Spot,Position Reference Frame,Reference Frame 1,1,6,
544.075,191.205,49.1573,µm,Spot,Position Reference Frame,Reference Frame 1,1,7,
411.529,254.976,50.6495,µm,Spot,Position Reference Frame,Reference Frame 1,1,8,
461.952,298.871,51.041,µm,Spot,Position Reference Frame,Reference Frame 1,1,9,
507.281,349.006,49.8398,µm,Spot,Position Reference Frame,Reference Frame 1,1,10,
571.887,312.502,49.0625,µm,Spot,Position Reference Frame,Reference Frame 1,1,11,
533.251,350.923,50.2264,µm,Spot,Position Reference Frame,Reference Frame 1,1,12,
355.417,410.064,48.8699,µm,Spot,Position Reference Frame,Reference Frame 1,1,13,
381.142,396.191,49.2492,µm,Spot,Position Reference Frame,Reference Frame 1,1,14,
466.122,364.162,49.8381,µm,Spot,Position Reference Frame,Reference Frame 1,1,15,
250.041,447.476,48.3525,µm,Spot,Position Reference Frame,Reference Frame 1,1,16,
449.615,273.625,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,17,
263.24,496.404,46.0964,µm,Spot,Position Reference Frame,Reference Frame 1,1,18,
212.564,533.795,43.3276,µm,Spot,Position Reference Frame,Reference Frame 1,1,19,
174.981,582.788,12.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,20,
309.34,524.567,21.9667,µm,Spot,Position Reference Frame,Reference Frame 1,1,21,
357.06,376.989,48.3976,µm,Spot,Position Reference Frame,Reference Frame 1,1,22,
564.534,382.54,29.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,23,
364.463,466.039,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,24,
399.731,327.797,49.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,25,
316.165,376.02,45.5162,µm,Spot,Position Reference Frame,Reference Frame 1,1,26,
315.927,463.754,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,27,
618.281,267.895,41.7521,µm,Spot,Position Reference Frame,Reference Frame 1,1,28,
