
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
584.728,338.906,46.6292,µm,Spot,Position Reference Frame,Reference Frame 1,1,0,
334.194,355.575,49.7991,µm,Spot,Position Reference Frame,Reference Frame 1,1,1,
307.509,498.21,42.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,2,
289.072,477.537,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,3,
338.631,371.499,47.6411,µm,Spot,Position Reference Frame,Reference Frame 1,1,4,
234.334,530.738,43.1433,µm,Spot,Position Reference Frame,Reference Frame 1,1,5,
261.257,480.307,47.8233,µm,Spot,Position Reference Frame,Reference Frame 1,1,6,
544.075,191.205,49.1573,µm,Spot,Position Reference Frame,Reference Frame 1,1,7,
411.529,254.976,50.6495,µm,Spot,Position Reference Frame,Reference Frame 1,1,8,
461.952,298.871,51.041,µm,Spot,Position Reference Frame,Reference Frame 1,1,9,
507.281,349.006,49.8398,µm,Spot,Position Reference Frame,Reference Frame 1,1,10,
571.887,312.502,49.0625,µm,Spot,Position Reference Frame,Reference Frame 1,1,11,
533.251,350.923,50.2264,µm,Spot,Position Reference Frame,Reference Frame 1,1,12,
355.417,410.064,48.8699,µm,Spot,Position Reference Frame,Reference Frame 1,1,13,
381.142,396.191,49.2492,µm,Spot,Position Reference Frame,Reference Frame 1,1,14,
466.122,364.162,49.8381,µm,Spot,Position Reference Frame,Reference Frame 1,1,15,
250.041,447.476,48.3525,µm,Spot,Position Reference Frame,Reference Frame 1,1,16,
449.615,273.625,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,17,
263.24,496.404,46.0964,µm,Spot,Position Reference Frame,Reference Frame 1,1,18,
212.564,533.795,43.3276,µm,Spot,Position Reference Frame,Reference Frame 1,1,19,
174.981,582.788,12.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,20,
309.34,524.567,21.9667,µm,Spot,Position Reference Frame,Reference Frame 1,1,21,
357.06,376.989,48.3976,µm,Spot,Position Reference Frame,Reference Frame 1,1,22,
564.534,382.54,29.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,23,
364.463,466.039,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,24,
399.731,327.797,49.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,25,
316.165,376.02,45.5162,µm,Spot,Position Reference Frame,Reference Frame 1,1,26,
315.927,463.754,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,27,
618.281,267.895,41.7521,µm,Spot,Position Reference Frame,Reference Frame 1,1,28,
370.56,219.982,49.4509,µm,Spot,Position Reference Frame,Reference Frame 1,1,29,
383.027,218.065,50.8618,µm,Spot,Position Reference Frame,Reference Frame 1,1,30,
589.34,216.778,45.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,31,
339.511,269.438,48.3687,µm,Spot,Position Reference Frame,Reference Frame 1,1,32,
254.227,370.093,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,33,
163.826,485.41,46.636,µm,Spot,Position Reference Frame,Reference Frame 1,1,34,
526.876,320.75,49.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,35,
593.892,238.973,44.0514,µm,Spot,Position Reference Frame,Reference Frame 1,1,36,
514.597,411.413,30.6366,µm,Spot,Position Reference Frame,Reference Frame 1,1,37,
448.06,255.917,48.8864,µm,Spot,Position Reference Frame,Reference Frame 1,1,38,
514.413,174.5,45.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,39,
562.973,355.699,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,42,
355.449,242.923,47.3018,µm,Spot,Position Reference Frame,Reference Frame 1,1,45,
227.795,478.717,46.7999,µm,Spot,Position Reference Frame,Reference Frame 1,1,46,
388.321,247.605,49.6824,µm,Spot,Position Reference Frame,Reference Frame 1,1,47,
525.636,211.205,51.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,48,
519.388,210.263,50.1361,µm,Spot,Position Reference Frame,Reference Frame 1,1,49,
