
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
535.54,412.745,15.2105,µm,Spot,Position Reference Frame,Reference Frame 1,1,0,
513.668,422.585,14.3958,µm,Spot,Position Reference Frame,Reference Frame 1,1,1,
390.15,492.618,14.8108,µm,Spot,Position Reference Frame,Reference Frame 1,1,2,
138.587,580.407,11.6676,µm,Spot,Position Reference Frame,Reference Frame 1,1,3,
157.6,578.366,15.2604,µm,Spot,Position Reference Frame,Reference Frame 1,1,4,
193.413,587.934,10.8666,µm,Spot,Position Reference Frame,Reference Frame 1,1,5,
185.721,585.766,12.8982,µm,Spot,Position Reference Frame,Reference Frame 1,1,6,
206.43,581.472,15.2032,µm,Spot,Position Reference Frame,Reference Frame 1,1,7,
289.592,543.335,13.9053,µm,Spot,Position Reference Frame,Reference Frame 1,1,8,
301.311,535.95,14.0942,µm,Spot,Position Reference Frame,Reference Frame 1,1,9,
506.194,125.305,19.6314,µm,Spot,Position Reference Frame,Reference Frame 1,1,10,
517.304,129.494,20.2048,µm,Spot,Position Reference Frame,Reference Frame 1,1,11,
526.885,136.261,22.3677,µm,Spot,Position Reference Frame,Reference Frame 1,1,12,
490.56,126.291,23.0689,µm,Spot,Position Reference Frame,Reference Frame 1,1,13,
577.692,385.225,16.7246,µm,Spot,Position Reference Frame,Reference Frame 1,1,14,
543.643,406.711,17.4444,µm,Spot,Position Reference Frame,Reference Frame 1,1,15,
562.041,393.746,17.6621,µm,Spot,Position Reference Frame,Reference Frame 1,1,16,
567.661,386.545,19.5603,µm,Spot,Position Reference Frame,Reference Frame 1,1,17,
552.041,396.205,21.7735,µm,Spot,Position Reference Frame,Reference Frame 1,1,18,
569.749,381.849,23.3751,µm,Spot,Position Reference Frame,Reference Frame 1,1,19,
622.066,357.355,21.2942,µm,Spot,Position Reference Frame,Reference Frame 1,1,20,
606.577,363.716,21.7653,µm,Spot,Position Reference Frame,Reference Frame 1,1,21,
450.494,457.513,18.7764,µm,Spot,Position Reference Frame,Reference Frame 1,1,22,
463.058,450.722,19.3411,µm,Spot,Position Reference Frame,Reference Frame 1,1,23,
438.318,461.634,20.1834,µm,Spot,Position Reference Frame,Reference Frame 1,1,24,
471.17,442.428,21.2536,µm,Spot,Position Reference Frame,Reference Frame 1,1,25,
423.112,471.287,22.0844,µm,Spot,Position Reference Frame,Reference Frame 1,1,26,
517.105,416.846,19.6012,µm,Spot,Position Reference Frame,Reference Frame 1,1,27,
526.413,413.583,20.0862,µm,Spot,Position Reference Frame,Reference Frame 1,1,28,
496.055,426.996,21.7505,µm,Spot,Position Reference Frame,Reference Frame 1,1,29,
485.921,433.473,22.0539,µm,Spot,Position Reference Frame,Reference Frame 1,1,30,
368.689,498.368,22.2314,µm,Spot,Position Reference Frame,Reference Frame 1,1,31,
148.358,571.357,16.19,µm,Spot,Position Reference Frame,Reference Frame 1,1,32,
169.843,578.926,16.9048,µm,Spot,Position Reference Frame,Reference Frame 1,1,33,
161.82,572.012,21.0372,µm,Spot,Position Reference Frame,Reference Frame 1,1,34,
138.695,556.804,21.9515,µm,Spot,Position Reference Frame,Reference Frame 1,1,35,
148.844,559.317,23.7938,µm,Spot,Position Reference Frame,Reference Frame 1,1,36,
220.152,574.03,18.0905,µm,Spot,Position Reference Frame,Reference Frame 1,1,37,
192.968,572.531,23.8746,µm,Spot,Position Reference Frame,Reference Frame 1,1,38,
260.894,557.122,17.6271,µm,Spot,Position Reference Frame,Reference Frame 1,1,39,
272.04,548.126,20.9236,µm,Spot,Position Reference Frame,Reference Frame 1,1,40,
282.425,540.637,23.2122,µm,Spot,Position Reference Frame,Reference Frame 1,1,41,
507.782,135.409,26.3544,µm,Spot,Position Reference Frame,Reference Frame 1,1,42,
499.354,134.901,27.2475,µm,Spot,Position Reference Frame,Reference Frame 1,1,43,
487.206,138.417,28.2835,µm,Spot,Position Reference Frame,Reference Frame 1,1,44,
530.762,149.404,29.3948,µm,Spot,Position Reference Frame,Reference Frame 1,1,45,
474.699,140.516,29.935,µm,Spot,Position Reference Frame,Reference Frame 1,1,46,
516.582,144.093,29.8282,µm,Spot,Position Reference Frame,Reference Frame 1,1,47,
489.972,147.914,31.4204,µm,Spot,Position Reference Frame,Reference Frame 1,1,48,
544.484,153.291,29.7306,µm,Spot,Position Reference Frame,Reference Frame 1,1,49,
521.765,406.962,31.6267,µm,Spot,Position Reference Frame,Reference Frame 1,1,50,
552.259,392.474,26.971,µm,Spot,Position Reference Frame,Reference Frame 1,1,51,
539.827,400.634,26.541,µm,Spot,Position Reference Frame,Reference Frame 1,1,52,
544.721,393.067,27.8487,µm,Spot,Position Reference Frame,Reference Frame 1,1,53,
553.868,390.79,28.8987,µm,Spot,Position Reference Frame,Reference Frame 1,1,54,
572.273,378.52,30.7566,µm,Spot,Position Reference Frame,Reference Frame 1,1,55,
592.945,367.611,28.7389,µm,Spot,Position Reference Frame,Reference Frame 1,1,56,
439.223,455.139,30.1494,µm,Spot,Position Reference Frame,Reference Frame 1,1,57,
434.797,458.618,30.4453,µm,Spot,Position Reference Frame,Reference Frame 1,1,58,
456.067,446.46,30.8548,µm,Spot,Position Reference Frame,Reference Frame 1,1,59,
505.353,421.392,24.6936,µm,Spot,Position Reference Frame,Reference Frame 1,1,60,
492.351,425.733,26.8879,µm,Spot,Position Reference Frame,Reference Frame 1,1,61,
488.487,424.5,31.9697,µm,Spot,Position Reference Frame,Reference Frame 1,1,62,
478.042,430.848,31.4757,µm,Spot,Position Reference Frame,Reference Frame 1,1,63,
